,score,symbol,country,sector,market_cap,company,ibkr,ibkr-desc,ibkr-conId,ibkr-currency,ibkr-exchange,ibkr-primaryExchange,ibkr-exchange
0,1.0,LIN.DE,,,178B EUR,"LINDE PLC  EO -,001",LIN,LIN,LINDE PLC,617155599,USD,NYSE,
1,1.0,MBG.DE,Germany,Consumer Cyclical,70.4B EUR,MERCEDES BENZ GROUP AG,MBG,MBGAF,MERCEDES-BENZ GROUP AG,6328,USD,PINK,
2,1.0,MT.AS,Luxembourg,Basic Materials,21B EUR,ARCELORMITTAL SA,MT,MTCN,ARCELORMITTAL SA,423932767,USD,VALUE,
3,1.0,POST.VI,Austria,Industrials,2.12B EUR,Oesterreichische Post AG,POST,OERCF,OESTERREICHISCHE POST AG,39583524,USD,PINK,
4,1.0,VOW3.DE,Germany,Consumer Cyclical,58.3B EUR,VOLKSWAGEN AG,VOW3,VLKAF,VOLKSWAGEN AG,652063714,USD,VALUE,
5,0.8947368421052632,CNHI.MI,United Kingdom,Industrials,16.8B EUR,CNH INDUSTRIAL,CNHI,CNHI,CNH INDUSTRIAL NV,135330258,USD,NYSE,
6,0.8666666666666667,STLAM.MI,Netherlands,Consumer Cyclical,52.7B EUR,STELLANTIS,STLAP,STLA,STELLANTIS NV,463647466,USD,NYSE,
7,0.8333333333333334,RACE.MI,Italy,Consumer Cyclical,51.5B EUR,FERRARI,RACE,RACE,FERRARI NV,217234340,USD,NYSE,
8,0.8333333333333334,VIE.PA,France,Industrials,20.3B EUR,VEOLIA ENVIRON.,VIE,VEOEY,VEOLIA ENVIRONNEMENT-ADR,14089137,USD,PINK,
9,0.8148148148148149,NTGY.MC,Spain,Utilities,25.7B EUR,"NATURGY ENERGY GROUP, S.A.",NTGY,GASNY,NATURGY ENERGY GROUP SA-ADR,329664449,USD,PINK,
10,0.8,TEF.MC,Spain,Communication Services,22.1B EUR,"TELEFONICA,S.A.",TEF,TEFOF,TELEFONICA SA,80742557,USD,PINK,
11,0.7916666666666666,BMED.MI,Italy,Financial Services,6.27B EUR,BANCA MEDIOLANUM,BMED,BNCDY,BANCA MEDIOLANUM SPA-ADR,222852707,USD,PINK,
12,0.7857142857142857,HEI.DE,Germany,Basic Materials,13.4B EUR,HEIDELBERGCEMENT AG O N,HEI,HDELY,HEIDELBERG MATERIAL-UNSP ADR,81057264,USD,PINK,
13,0.7777777777777778,BG.VI,Austria,Financial Services,3.54B EUR,BAWAG Group AG,BG,BAWAY,BAWAG GROUP AG-ADR,621500399,USD,PINK,
14,0.75,ISP.MI,Italy,Financial Services,45.4B EUR,INTESA SANPAOLO,ISP,ISNPY,INTESA SANPAOLO SPON ADR,42393326,USD,PINK,
15,0.75,RWE.DE,Germany,Utilities,27.6B EUR,RWE AG  INH O N,RWE,RWEOY,RWE AKTIENGESELLSCHAF-SP ADR,58593713,USD,PINK,
16,0.75,SBO.VI,Austria,Energy,861M EUR,SCHOELLER-BLECKMANN AG,SBO,SBOEY,SCHOELLER-BLECKMANN-UNSP ADR,129470185,USD,PINK,
17,0.7407407407407407,TNET.BR,Belgium,Communication Services,2.3B EUR,TELENET GROUP,TNET,TLGHY,TELENET GROUP HOLD-UNSP ADR,73133304,USD,PINK,
18,0.7333333333333334,BNP.PA,France,Financial Services,70.3B EUR,BNP PARIBAS ACT.A,BNP,BNPQY,BNP PARIBAS-ADR,51831744,USD,PINK,
19,0.72,FRE.DE,Germany,Healthcare,15.9B EUR,FRESENIUS SE&CO KGAA,FRE,FSNUY,FRESENIUS SE & CO-SPN ADR,96674423,USD,PINK,
20,0.7142857142857143,GRF.MC,Spain,Healthcare,7.25B EUR,GRIFOLS S.A.,GRF,GRFS,GRIFOLS SA-ADR,110753297,USD,NASDAQ,
21,0.7142857142857143,STMPA.PA,Switzerland,Technology,39.7B EUR,STMICROELECTRONICS,STMPA,STM,STMICROELECTRONICS NV-NY SHS,12460,USD,NYSE,
22,0.7142857142857143,TEN.MI,Luxembourg,Energy,17.8B EUR,TENARIS,TEN,TS,TENARIS SA-ADR,16675601,USD,NYSE,
23,0.7058823529411764,UCG.MI,Italy,Financial Services,39.5B EUR,UNICREDIT,UCG,UNCRY,UNICREDIT SPA-ADR,288862703,USD,PINK,
24,0.6923076923076923,SHELL.AS,United Kingdom,Energy,197B EUR,SHELL PLC,SHELL,SHEL,SHELL PLC-ADR,540900810,USD,NYSE,
25,0.6875,LDO.MI,Italy,Industrials,7.9B EUR,LEONARDO,LDO,FINMY,LEONARDO SPA-ADR,234653957,USD,PINK,
26,0.6785714285714286,CPR.MI,Italy,Consumer Defensive,13.6B EUR,CAMPARI,CPR,DVDCY,DAVIDE CAMPARI-MI-UNSPON ADR,75221341,USD,VALUE,
27,0.6785714285714286,DTE.DE,Germany,Communication Services,100B EUR,DEUTSCHE TELEKOM AG,DTE,DTEGY,DEUTSCHE TELEKOM AG-SPON ADR,2254329,USD,PINK,
28,0.6785714285714286,EBS.VI,Austria,Financial Services,13.1B EUR,Erste Group Bank AG,EBS,EBKDY,ERSTE GROUP BANK AG-SPON ADR,70248207,USD,PINK,
