Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
OR.PA,429.65,2023/11/22,17:35 CET,4.0,425.0,431.2,424.3,245171,20231018,384.95,2.0,0.0,,,
LIN.DE,378.05,2023/11/22,17:35 CET,0.0,377.85,379.8,374.3,13957,20231018,339.06666666666666,3.0,0.0,,,
MUV2.DE,386.6,2023/11/22,17:38 CET,-0.6000061,388.8,390.2,386.1,207908,20231018,378.2,3.0,0.0,,,
UNA.AS,43.795,2023/11/22,17:35 CET,0.17499924,43.75,43.91,43.585,1058928,20231018,46.596000000000004,25.0,0.0,,,
IFX.DE,33.465,2023/11/22,17:38 CET,0.06499863,33.305,33.755,32.965,4760153,20231018,31.239189189189187,37.0,0.0,,,
WDP.BR,25.14,2023/11/22,17:36 CET,0.34000015,24.76,25.3,24.76,200970,20231018,24.14,50.0,0.0,,,
MRL.MC,8.87,2023/11/22,17:35 CET,0.19999981,8.75,8.93,8.745,740480,20231018,8.067612903225806,155.0,0.0,,,
IAG.MC,1.824,2023/11/22,17:35 CET,0.03999996,1.7825,1.836,1.776,13775781,20231018,1.6049278846153845,832.0,0.0,,,
CS.PA,28.24,2023/11/22,17:35 CET,0.03999901,28.275,28.49,28.17,2072849,20231018,28.039245283018868,53.0,0.0,,,
ENI.MI,14.724,2023/11/22,17:37 CET,-0.21000004,14.97,15.004,14.588,10782526,20231018,15.431443298969072,97.0,0.0,,,
PRX.AS,30.28,2023/11/22,17:35 CET,0.16500092,30.14,30.47,30.055,2714789,20231018,27.851607142857144,56.0,0.0,,,
ALV.DE,231.0,2023/11/22,17:37 CET,0.6499939,231.85,232.35,230.75,627214,20231018,221.40625,8.0,0.0,,,
KBC.BR,52.44,2023/11/22,17:35 CET,0.29999924,52.18,52.7,52.16,507861,20231018,55.49,32.0,0.0,,,
BNP.PA,56.58,2023/11/22,17:35 CET,0.12000275,56.63,56.77,56.36,976809,20231018,57.32806451612903,31.0,0.0,,,
FORTUM.HE,12.37,2023/11/22,18:29 EET,-0.06000042,12.43,12.565,12.33,642242,20231018,11.76656976744186,172.0,0.0,,,
NOKIA.HE,3.2545,2023/11/22,18:29 EET,0.015999794,3.234,3.2685,3.23,7788493,20231018,3.378145285935085,647.0,0.0,,,
EBS.VI,36.0,2023/11/22,17:35 CET,0.11000061,35.89,36.17,35.8,216774,20231018,32.86514705882353,68.0,0.0,,,
SU.PA,165.24,2023/11/22,17:35 CET,1.3600006,164.14,166.44,164.06,693939,20231018,145.11411764705883,17.0,0.0,,,
SIE.DE,149.66,2023/11/22,17:42 CET,2.0,147.76,150.1,147.7,1361009,20231018,130.01565217391305,23.0,0.0,,,
IBE.MC,11.095,2023/11/22,17:35 CET,0.055000305,11.08,11.135,11.035,10248526,20231018,10.45742372881356,295.0,0.0,,,
AIR.PA,134.0,2023/11/22,17:35 CET,0.2400055,133.88,134.1,132.66,743890,20231018,124.3944,25.0,0.0,,,
SAP.DE,141.16,2023/11/22,17:36 CET,1.7200012,139.78,142.08,139.72,1901856,20231018,119.27111111111111,27.0,0.0,,,
ITX.MC,36.87,2023/11/22,17:35 CET,-0.010002136,37.0,37.07,36.44,1753885,20231018,34.055789473684214,95.0,0.0,,,
SAN.PA,84.92,2023/11/22,17:35 CET,-0.41999817,85.31,85.77,84.92,1015755,20231018,100.92432432432432,37.0,0.0,,,
CNHI.MI,9.202,2023/11/22,17:35 CET,-0.0040006638,9.21,9.286,8.75,9650195,20231018,12.082073170731707,82.0,0.0,,,
SHELL.AS,29.77,2023/11/22,17:39 CET,-0.64500046,30.5,30.54,29.535,9216428,20231018,31.304242424242425,33.0,0.0,,,
AD.AS,26.725,2023/11/22,17:35 CET,0.18499947,26.615,26.82,26.575,1545029,20231018,27.862972972972976,37.0,0.0,,,
TEN.MI,15.33,2023/11/22,17:35 CET,-0.21000004,15.595,15.635,15.145,3001143,20231018,16.133823529411764,68.0,0.0,,,
TTE.PA,61.85,2023/11/22,17:36 CET,-1.1000023,63.29,63.5,61.11,4483162,20231018,61.080555555555556,18.0,0.0,,,
BAS.DE,43.72,2023/11/22,17:35 CET,-0.09000015,43.945,44.15,43.505,1635008,20231018,43.40384615384615,26.0,0.0,,,
DTE.DE,21.74,2023/11/22,17:35 CET,0.14999962,21.59,21.78,21.55,4718651,20231018,20.07894736842105,57.0,0.0,,,
ARGX.BR,449.5,2023/11/22,17:35 CET,-0.8999939,450.0,454.3,445.0,38879,20231018,393.09999999999997,3.0,0.0,,,
ISP.MI,2.541,2023/11/22,17:39 CET,0.01549983,2.5345,2.5655,2.5305,55691837,20231018,2.3347855917667237,583.0,0.0,,,
