Name,Ticker,Country,Amount
Convertible Bonds,,,2.98%
Tesla Inc,TSLA,United States,2.81%
NVIDIA Corp,NVDA,United States,2.24%
Tencent Holdings Ltd,00700,China,2.18%
Advanced Micro Devices Inc,AMD,United States,2.12%
Alibaba Group Holding Ltd ADR,BABA,China,1.97%
Microsoft Corp,MSFT,United States,1.81%
Amazon.com Inc,AMZN,United States,1.67%
Pinduoduo Inc ADR,PDD,China,1.55%
Apple Inc,AAPL,United States,1.43%
Nintendo Co Ltd,7974,Japan,1.11%
Qualcomm Inc,QCOM,United States,1.08%
Costco Wholesale Corp,COST,United States,1.08%
Bonds,,,1.02%
Gold,,,1.00%
Facebook Inc A,FB,United States,0.92%
Baidu Inc ADR,BIDU,China,0.91%
Alphabet Inc A,GOOGL,United States,0.82%
Meituan,03690,China,0.64%
PayPal Holdings Inc,PYPL,United States,0.63%
Kweichow Moutai Co Ltd,600519,China,0.61%
Shopify Inc A,SHOP,Canada,0.61%
The Walt Disney Co,DIS,United States,0.59%
NIO Inc ADR,NIO,China,0.58%
Plug Power Inc,PLUG,United States,0.57%
iShares MSCI India ETF,INDA,United States,0.56%
Enphase Energy Inc,ENPH,United States,0.53%
Peloton Interactive Inc,PTON,United States,0.52%
Sony Corp ADR,SNE,Japan,0.50%
JD.com Inc ADR,JD,China,0.46%
Samsung Electronics Co Ltd,005930,South Korea,0.43%
Ping An Insurance (Group) Co. of China Ltd,601318,China,0.43%
First Solar Inc,FSLR,United States,0.42%
Taiwan Semiconductor Manufacturing Co Ltd,2330,Taiwan,0.41%
Sunrun Inc,RUN,United States,0.40%
NetEase Inc ADR,NTES,China,0.39%
Bilibili Inc ADR,BILI,China,0.36%
Ormat Technologies Inc,ORA,United States,0.36%
Netflix Inc,NFLX,United States,0.32%
Wuliangye Yibin Co Ltd,000858,China,0.32%
Unknown,,,0.30%
Boralex Inc Class A,BLX,Canada,0.30%
Yandex NV Shs Class-A-,YNDX,Russia,0.30%
China Merchants Bank Co Ltd,600036,China,0.29%
Uber Technologies Inc,UBER,United States,0.28%
TAL Education Group ADR,TAL,China,0.27%
JD Health International Inc,06618,China,0.26%
Ballard Power Systems Inc,BLDP,Canada,0.25%
Cree Inc,CREE,United States,0.25%
Trip.com Group Ltd ADR,TCOM,China,0.25%
United States dollar,,,0.24%
Sunnova Energy International Inc,NOVA,United States,0.24%
Universal Display Corp,OLED,United States,0.24%
Brookfield Renewable Partners LP,BEP.UN,United States,0.24%
Innergex Renewable Energy Inc,INE,Canada,0.23%
KE Holdings Inc ADR,BEKE,China,0.23%
Alphabet Inc Class C,GOOG,United States,0.23%
Northland Power Inc,NPI,Canada,0.23%
NextEra Energy Partners LP,NEP,United States,0.23%
Hannon Armstrong Sustainable Infrastructure Capital Inc,HASI,United States,0.22%
Acuity Brands Inc,AYI,United States,0.22%
Itron Inc,ITRI,United States,0.22%
Xinyi Solar Holdings Ltd,00968,China,0.21%
Jiangsu Hengrui Medicine Co Ltd,600276,China,0.21%
Berkshire Hathaway Inc Class B,BRK.B,United States,0.21%
XPeng Inc ADR,XPEV,China,0.21%
JPMorgan Chase & Co,JPM,United States,0.21%
Meridian Energy Ltd,MEL,New Zealand,0.21%
UnitedHealth Group Inc,UNH,United States,0.21%
Johnson & Johnson,JNJ,United States,0.21%
Klepierre,LI,France,0.20%
Vestas Wind Systems A/S,VWS,Denmark,0.20%
VEREIT Inc Class A,VER,United States,0.20%
Vipshop Holdings Ltd ADR,VIPS,China,0.19%
Renewable Energy Group Inc,REGI,United States,0.19%
Orsted A/S,ORSTED,Denmark,0.19%
Siemens Gamesa Renewable Energy SA,SGRE,Spain,0.19%
SolarEdge Technologies Inc,SEDG,United States,0.18%
Alibaba Health Information Technology Ltd,00241,China,0.18%
Tencent Music Entertainment Group ADR,TME,China,0.18%
Contact Energy Ltd,CEN,New Zealand,0.18%
Visa Inc Class A,V,United States,0.17%
Midea Group Co Ltd Class A,000333,China,0.17%
EDP Renovaveis SA,EDPR,Spain,0.17%
Amgen Inc,AMGN,United States,0.17%
Scatec ASA Ordinary Shares,SSO,Norway,0.16%
Industrial Bank Co Ltd,601166,China,0.15%
Snap Inc Class A,SNAP,United States,0.15%
Danaher Corp,DHR,United States,0.15%
China Tourism Group Duty Free Corp Ltd Class A,601888,China,0.15%
Merck & Co Inc,MRK,United States,0.15%
Lufax Holding Ltd ADR,LU,China,0.15%
Mastercard Inc A,MA,United States,0.14%
Contemporary Amperex Technology Co Ltd Class A,300750,China,0.14%
Cisco Systems Inc,CSCO,United States,0.14%
Accenture PLC Class A,ACN,United States,0.13%
Adobe Inc,ADBE,United States,0.13%
Procter & Gamble Co,PG,United States,0.13%
Luxshare Precision Industry Co Ltd,002475,China,0.13%
Toyota Motor Corp,7203,Japan,0.13%
Bank of America Corp,BAC,United States,0.13%
Foshan Haitian Flavouring and Food Co Ltd Class A,603288,China,0.13%
CrowdStrike Holdings Inc Class A,CRWD,United States,0.13%
