Name,Ticker,Country,Amount
NVIDIA Corp,NVDA,United States,3.70%
Convertible Bonds,,,2.99%
Advanced Micro Devices Inc,AMD,United States,2.47%
Microsoft Corp,MSFT,United States,2.42%
Tesla Inc,TSLA,United States,2.12%
Amazon.com Inc,AMZN,United States,1.77%
Tencent Holdings Ltd,00700,China,1.67%
Apple Inc,AAPL,United States,1.61%
Costco Wholesale Corp,COST,United States,1.32%
Alphabet Inc Class A,GOOGL,United States,1.26%
Facebook Inc Class A,FB,United States,1.23%
Alibaba Group Holding Ltd ADR,BABA,China,1.14%
Bonds,,,1.09%
Qualcomm Inc,QCOM,United States,1.01%
Gold,,,0.98%
Nintendo Co Ltd,7974,Japan,0.85%
Pinduoduo Inc ADR,PDD,China,0.84%
Shopify Inc A,SHOP,Canada,0.80%
PayPal Holdings Inc,PYPL,United States,0.74%
The Walt Disney Co,DIS,United States,0.60%
Baidu Inc ADR,BIDU,China,0.56%
Kweichow Moutai Co Ltd,600519,China,0.56%
Sony Group Corp ADR,SONY,Japan,0.51%
Enphase Energy Inc,ENPH,United States,0.46%
Taiwan Semiconductor Manufacturing Co Ltd,2330,Taiwan,0.45%
Peloton Interactive Inc,PTON,United States,0.40%
NIO Inc ADR,NIO,China,0.40%
Samsung Electronics Co Ltd,005930,South Korea,0.38%
Alibaba Group Holding Ltd Ordinary Shares,09988,China,0.36%
Meituan,03690,China,0.35%
Netflix Inc,NFLX,United States,0.34%
Alphabet Inc Class C,GOOG,United States,0.33%
JD.com Inc ADR,JD,China,0.32%
Unknown,,,0.31%
NetEase Inc ADR,NTES,China,0.30%
Sunrun Inc,RUN,United States,0.30%
Plug Power Inc,PLUG,United States,0.29%
China Merchants Bank Co Ltd,600036,China,0.28%
Yandex NV Shs Class-A-,YNDX,Russia,0.28%
First Solar Inc,FSLR,United States,0.26%
JPMorgan Chase & Co,JPM,United States,0.25%
Berkshire Hathaway Inc Class B,BRK.B,United States,0.25%
Bilibili Inc ADR,BILI,China,0.25%
Uber Technologies Inc,UBER,United States,0.24%
Ping An Insurance (Group) Co. of China Ltd,601318,China,0.24%
Wuliangye Yibin Co Ltd,000858,China,0.23%
Vestas Wind Systems A/S,VWS,Denmark,0.23%
Northland Power Inc,NPI,Canada,0.23%
Universal Display Corp,OLED,United States,0.22%
Other,,,59.79%
