Name,Ticker,Country,Amount
Convertible Bonds,,,4.96%
Bonds,,,3.98%
Apple Inc,AAPL,United States,3.10%
Microsoft Corp,MSFT,United States,2.79%
Amazon.com Inc,AMZN,United States,2.37%
Facebook Inc A,FB,United States,1.68%
Tencent Holdings Ltd,00700,China,1.64%
Alibaba Group Holding Ltd ADR,BABA,China,1.61%
Tesla Inc,TSLA,United States,1.51%
Alphabet Inc A,GOOGL,United States,1.50%
NVIDIA Corp,NVDA,United States,1.35%
Baidu Inc ADR,BIDU,China,1.21%
Costco Wholesale Corp,COST,United States,1.17%
Gold,,,1.00%
UnitedHealth Group Inc,UNH,United States,0.61%
Samsung Electronics Co Ltd,005930,South Korea,0.59%
iShares MSCI India ETF,INDA,United States,0.56%
Sony Corp ADR,SNE,Japan,0.50%
Alphabet Inc Class C,GOOG,United States,0.48%
Visa Inc Class A,V,United States,0.48%
Taiwan Semiconductor Manufacturing Co Ltd,2330,Taiwan,0.46%
Amgen Inc,AMGN,United States,0.44%
Johnson & Johnson,JNJ,United States,0.44%
The Home Depot Inc,HD,United States,0.42%
JPMorgan Chase & Co,JPM,United States,0.40%
Unknown,,,0.36%
Meituan,03690,China,0.36%
Salesforce.com Inc,CRM,United States,0.35%
Procter & Gamble Co,PG,United States,0.34%
The Walt Disney Co,DIS,United States,0.32%
Honeywell International Inc,HON,United States,0.31%
Berkshire Hathaway Inc Class B,BRK.B,United States,0.31%
Pinduoduo Inc ADR,PDD,China,0.31%
Goldman Sachs Group Inc,GS,United States,0.29%
Kweichow Moutai Co Ltd,600519,China,0.29%
Boeing Co,BA,United States,0.28%
PayPal Holdings Inc,PYPL,United States,0.28%
Merck & Co Inc,MRK,United States,0.28%
Plug Power Inc,PLUG,United States,0.27%
McDonald's Corp,MCD,United States,0.27%
JD.com Inc ADR,JD,China,0.27%
Netflix Inc,NFLX,United States,0.27%
Nike Inc B,NKE,United States,0.26%
Enphase Energy Inc,ENPH,United States,0.26%
3M Co,MMM,United States,0.25%
Adobe Inc,ADBE,United States,0.25%
Mastercard Inc A,MA,United States,0.25%
Caterpillar Inc,CAT,United States,0.24%
United States dollar,,,0.23%
Other,,,57.81%
