Name,Ticker,Country,Amount
Tesla Inc,TSLA,United States,6.19%
Pinduoduo Inc ADR,PDD,China,4.63%
Shopify Inc A,SHOP,Canada,3.08%
NIO Inc ADR,NIO,China,3.08%
XPeng Inc ADR,XPEV,China,3.01%
Alibaba Group Holding Ltd ADR,BABA,China,3.00%
Klepierre,LI,France,3.00%
Tencent Holdings Ltd,00700,China,2.10%
NVIDIA Corp,NVDA,United States,2.03%
Peloton Interactive Inc,PTON,United States,2.01%
Advanced Micro Devices Inc,AMD,United States,2.01%
Qualcomm Inc,QCOM,United States,2.01%
Baidu Inc ADR,BIDU,China,1.38%
Square Inc A,SQ,United States,1.36%
PayPal Holdings Inc,PYPL,United States,1.07%
Uber Technologies Inc,UBER,United States,1.04%
Nintendo Co Ltd,7974,Japan,1.02%
Plug Power Inc,PLUG,United States,0.75%
Meituan,03690,China,0.71%
iShares MSCI India ETF,INDA,United States,0.71%
Enphase Energy Inc,ENPH,United States,0.69%
Apple Inc,AAPL,United States,0.63%
Microsoft Corp,MSFT,United States,0.61%
Facebook Inc A,FB,United States,0.59%
Amazon.com Inc,AMZN,United States,0.58%
Alphabet Inc A,GOOGL,United States,0.57%
Kweichow Moutai Co Ltd,600519,China,0.55%
First Solar Inc,FSLR,United States,0.55%
JD.com Inc ADR,JD,China,0.52%
Sunrun Inc,RUN,United States,0.50%
Sony Corp ADR,SNE,Japan,0.50%
Samsung Electronics Co Ltd,005930,South Korea,0.49%
Taiwan Semiconductor Manufacturing Co Ltd,2330,Taiwan,0.48%
Ormat Technologies Inc,ORA,United States,0.46%
Ping An Insurance (Group) Co. of China Ltd,601318,China,0.41%
Boralex Inc Class A,BLX,Canada,0.40%
Roku Inc Class A,ROKU,United States,0.39%
Bilibili Inc ADR,BILI,China,0.34%
NetEase Inc ADR,NTES,China,0.34%
Invitae Corp,NVTA,United States,0.34%
Xinyi Solar Holdings Ltd,00968,China,0.32%
TAL Education Group ADR,TAL,China,0.31%
Sunnova Energy International Inc,NOVA,United States,0.31%
Innergex Renewable Energy Inc,INE,Canada,0.31%
Meridian Energy Ltd,MEL,New Zealand,0.31%
Unknown,,,0.31%
KE Holdings Inc ADR,BEKE,China,0.31%
CRISPR Therapeutics AG,CRSP,Switzerland,0.30%
Ballard Power Systems Inc,BLDP,Canada,0.30%
Other,,,43.06%
